museum,art,history,science,nature,culture
Louvre,1,1,0,0,0
Centre Pompidou,1,0,0,0,0
Musée d'Orsay,1,0,0,0,0
Cité des Sciences et de l'Industrie,0,0,1,0,0
National Museum of China,1,1,0,0,0
China Science and Technology Museum,0,0,1,0,0
National Air and Space Museum,0,0,1,0,0
National Museum of Natural History,0,0,0,1,0
National Gallery of Art,1,0,0,0,0
National Museum of American History,0,1,0,0,0
National Museum of African American History an...,0,1,0,0,0
Metropolitan Museum of Art,1,0,0,0,0
American Museum of Natural History,0,0,0,1,0
National September 11 Museum,0,1,0,0,0
Museum of Modern Art,1,0,0,0,0
Vatican Museums,0,1,0,0,1
Shanghai Science and Technology Museum,0,0,1,0,0
China Art Museum,1,0,0,0,0
Shanghai Museum,1,0,0,0,0
British Museum,1,1,0,0,1
Tate Modern,1,0,0,0,0
National Gallery,1,0,0,0,0
Natural History Museum,0,0,0,1,0
Victoria and Albert Museum,1,0,0,0,0
London Science Museum,0,0,1,0,0
Somerset House,1,1,0,0,0
Royal Museums Greenwich,0,1,0,0,0
National Palace Museum,1,1,0,0,1
State Hermitage Museum,1,1,0,0,0
Reina Sofía,1,0,0,0,0
Museo del Prado,1,1,0,0,0
Zhejiang Museum,1,0,0,0,1
National Museum of Korea,1,1,0,0,0
National Folk Museum of Korea,0,1,0,0,1
Gansu Provincial Museum,0,1,0,1,0
Nanjing Museum,1,1,0,0,0
National Art Center,1,0,0,0,0
National Museum of Nature and Science,0,0,1,1,0
Chongqing Museum of Natural History,0,0,0,1,0
Chongqing Science and Technology Museum,0,0,1,0,0
Three Gorges Museum,0,0,0,1,1
Shaanxi History Museum,0,1,0,0,0
National Gallery of Victoria,1,0,0,0,0
Mevlana Museum,0,0,0,0,1
National Science and Technology Museum,0,0,1,0,0
National Museum of Anthropology,0,1,0,0,1
National Museum of History,0,1,0,0,0
Houston Museum of Natural Science,0,0,0,1,0
Galleria degli Uffizi,1,0,0,0,0
Rijksmuseum,1,1,0,0,0
Van Gogh Museum,1,0,0,0,0
National Museum of Scotland,0,0,0,0,1
Auschwitz-Birkenau Memorial and Museum,0,1,0,0,0
California Science Center,0,0,1,0,0
Tretyakov Gallery,1,0,0,0,0
